district,ch13_total,prior_within_lookback,prior_outside_lookback,no_prior,pct_caught_of_prior
ksbk,3711,353,1785,1573,16.51
flsbk,2261,233,1013,1015,18.70
mowbk,3994,196,1959,1839,9.10
txsbk,3732,149,1829,1754,7.53
ilnbk,337,19,154,164,10.98
cacbk,176,10,95,71,9.52
flmbk,244,8,114,122,6.56
tnwbk,243,7,120,116,5.51
insbk,48,6,20,22,23.08
njbk,89,5,47,37,9.62
ohnbk,41,5,16,20,23.81
wiebk,35,4,11,20,26.67
moebk,163,3,78,82,3.70
innbk,54,3,25,26,10.71
ganbk,22,3,10,9,23.08
kyebk,37,2,17,18,10.53
scbk,26,2,12,12,14.29
nyebk,14,2,5,7,28.57
ctbk,9,2,4,3,33.33
miebk,35,1,17,17,5.56
ncmbk,19,1,10,8,9.09
mdbk,12,1,5,6,16.67
ncebk,20,1,11,8,8.33
txnbk,15,1,7,7,12.50
ohsbk,19,1,10,8,9.09
mabk,9,0,5,4,0.00
alnbk,45,0,26,19,0.00
almbk,80,0,46,34,0.00
paebk,137,0,78,59,0.00
wiwbk,2,0,1,1,0.00
arwbk,18,0,7,11,0.00
nvbk,23,0,8,15,0.00
kywbk,3,0,3,0,0.00
mnbk,3,0,1,2,0.00
ilcbk,1,0,1,0,0.00
casbk,4,0,1,3,0.00
arebk,18,0,10,8,0.00
caebk,38,0,13,25,0.00
flnbk,10,0,5,5,0.00
vaebk,51,0,28,23,0.00
msnbk,1,0,1,0,0.00
