current_district,current_year,current_chapter,prior_chapter,days_between,lookback_period_days,lookback_triggered
txsbk,2013,13,7,731,1460,True
txsbk,2012,13,7,80,1460,True
txsbk,2003,13,7,-123,1460,True
txsbk,2004,13,7,366,1460,True
txsbk,2012,13,7,133,1460,True
txsbk,2013,13,7,454,1460,True
txsbk,2014,13,7,594,1460,True
txsbk,2012,13,7,401,1460,True
txsbk,2013,13,7,643,1460,True
txsbk,2021,13,13,621,730,True
txsbk,2019,13,7,510,1460,True
txsbk,2017,13,7,1320,1460,True
flsbk,2002,13,7,151,1460,True
ksbk,2003,13,13,-260,730,True
txsbk,2005,13,13,166,730,True
txsbk,2006,13,7,1037,1460,True
txsbk,2004,13,7,188,1460,True
txsbk,2004,13,7,452,1460,True
txsbk,2005,13,7,489,1460,True
txsbk,2004,13,13,-676,730,True
txsbk,2006,13,7,224,1460,True
txsbk,2004,13,7,27,1460,True
txsbk,2006,13,7,201,1460,True
flsbk,2018,13,7,1135,1460,True
txsbk,2009,13,7,974,1460,True
txsbk,2006,13,7,464,1460,True
txsbk,2010,13,7,1013,1460,True
txsbk,2005,13,7,650,1460,True
txsbk,2005,13,13,-155,730,True
txsbk,2001,13,7,903,1460,True
txsbk,2012,13,13,231,730,True
txsbk,2001,13,7,888,1460,True
txsbk,2014,13,13,629,730,True
txsbk,2013,13,13,375,730,True
txsbk,2009,13,7,152,1460,True
txsbk,2009,13,7,1174,1460,True
txsbk,2017,13,13,421,730,True
txsbk,2014,13,7,76,1460,True
txsbk,2013,13,7,51,1460,True
txsbk,2013,13,13,181,730,True
txsbk,2019,13,7,111,1460,True
txsbk,2022,13,7,-27,1460,True
txsbk,2023,13,7,553,1460,True
ilnbk,1998,13,7,295,1460,True
ilnbk,2000,13,13,140,730,True
ilnbk,2001,13,7,1019,1460,True
ilnbk,1999,13,7,91,1460,True
mowbk,2002,13,7,970,1460,True
ilnbk,2001,13,7,618,1460,True
ilnbk,2000,13,7,314,1460,True
ilnbk,2000,13,7,200,1460,True
ilnbk,2001,13,7,333,1460,True
ilnbk,2001,13,7,426,1460,True
ilnbk,2001,13,7,188,1460,True
ilnbk,2001,13,7,451,1460,True
ilnbk,2002,13,7,704,1460,True
flsbk,2000,13,7,-21,1460,True
flsbk,2003,13,7,564,1460,True
mowbk,2004,13,13,-2096,730,True
ksbk,2004,13,7,55,1460,True
ksbk,2010,13,13,300,730,True
ksbk,2009,13,7,664,1460,True
ksbk,2009,13,7,1400,1460,True
ksbk,2006,13,13,527,730,True
ksbk,2006,13,7,1455,1460,True
ksbk,2009,13,13,321,730,True
ksbk,2009,13,7,552,1460,True
ksbk,2025,13,7,497,1460,True
ksbk,2011,13,7,1384,1460,True
ksbk,2009,13,7,1351,1460,True
ksbk,2007,13,13,433,730,True
ksbk,2016,13,13,666,730,True
ksbk,2014,13,7,396,1460,True
ksbk,2014,13,13,301,730,True
ksbk,2007,13,7,1392,1460,True
txsbk,2006,13,7,255,1460,True
txsbk,2007,13,7,430,1460,True
ksbk,2023,13,7,1366,1460,True
mowbk,2006,13,7,572,1460,True
mowbk,2007,13,7,937,1460,True
mowbk,2006,13,7,989,1460,True
mowbk,2003,13,7,109,1460,True
mowbk,2004,13,7,577,1460,True
mowbk,2009,13,7,1041,1460,True
mowbk,2008,13,7,791,1460,True
mowbk,2006,13,7,807,1460,True
mowbk,2005,13,7,345,1460,True
mowbk,2008,13,7,889,1460,True
mowbk,2008,13,7,1279,1460,True
mowbk,2005,13,7,1068,1460,True
mowbk,2005,13,13,-1089,730,True
mowbk,2008,13,13,-211,730,True
scbk,2019,13,13,-14,730,True
mowbk,2007,13,7,623,1460,True
mowbk,2006,13,7,601,1460,True
mowbk,2006,13,7,318,1460,True
mowbk,2018,13,13,715,730,True
mowbk,2008,13,7,832,1460,True
txsbk,2004,13,7,20,1460,True
txsbk,2005,13,7,169,1460,True
txsbk,2009,13,7,1328,1460,True
txsbk,2008,13,13,325,730,True
txsbk,2006,13,7,31,1460,True
txsbk,2003,13,13,-913,730,True
txsbk,2009,13,13,138,730,True
txsbk,2007,13,7,741,1460,True
txsbk,2005,13,13,-1872,730,True
txsbk,2009,13,7,756,1460,True
txsbk,2010,13,13,177,730,True
txsbk,2010,13,13,-8,730,True
txsbk,2010,13,13,120,730,True
txsbk,2010,13,13,343,730,True
txsbk,2006,13,7,845,1460,True
txsbk,2015,13,13,719,730,True
txsbk,2010,13,13,196,730,True
txsbk,2012,13,7,696,1460,True
txsbk,2003,13,7,610,1460,True
txsbk,2013,13,7,875,1460,True
txsbk,2004,13,7,781,1460,True
txsbk,2018,13,7,738,1460,True
txsbk,2019,13,7,1066,1460,True
txsbk,1995,13,7,104,1460,True
ilnbk,2009,13,13,-1574,730,True
wiebk,2011,13,7,373,1460,True
wiebk,2015,13,7,72,1460,True
ksbk,2015,13,13,21,730,True
mowbk,2021,13,7,1029,1460,True
mowbk,2025,13,7,758,1460,True
mowbk,2019,13,13,385,730,True
mowbk,2023,13,13,469,730,True
mowbk,2005,13,13,-167,730,True
mowbk,2012,13,7,162,1460,True
mowbk,2019,13,7,382,1460,True
ksbk,2024,13,7,498,1460,True
mowbk,2009,13,7,-929,1460,True
ksbk,2013,13,7,429,1460,True
ksbk,2015,13,7,1150,1460,True
mowbk,2016,13,7,1430,1460,True
ksbk,2003,13,7,134,1460,True
ksbk,2025,13,7,1160,1460,True
flsbk,2004,13,7,924,1460,True
ksbk,2016,13,7,1456,1460,True
ksbk,2023,13,13,718,730,True
ksbk,2003,13,7,-805,1460,True
mowbk,2010,13,7,1092,1460,True
mowbk,2011,13,7,959,1460,True
mowbk,2008,13,7,169,1460,True
mowbk,2013,13,7,1077,1460,True
mowbk,2018,13,13,164,730,True
mowbk,2008,13,7,1044,1460,True
mowbk,2013,13,13,136,730,True
mowbk,2015,13,13,623,730,True
mowbk,2009,13,13,304,730,True
mowbk,2017,13,13,369,730,True
mowbk,2012,13,7,1,1460,True
mowbk,2018,13,13,123,730,True
mowbk,2019,13,13,588,730,True
mowbk,2025,13,13,668,730,True
mowbk,2005,13,7,20,1460,True
ksbk,2024,13,7,1196,1460,True
